"","years","weeks","Cure_0","Cure_1","Cure_2","Cure_3","Cure_4","Cure_5","Cure_10","Cure_15","Cure_20","background"
"1",0,0,1,1,1,1,1,1,1,1,1,1
"2",0.2,1,0.995066528912469,0.994922799806785,0.994767205119486,0.994597263560032,0.994411283411042,0.994206968572523,0.992805756160843,0.990727229512411,0.989018032913982,0.997678050539022
"3",0.4,2,0.905499406674307,0.904830517150796,0.904166846264417,0.90350538997046,0.902846166699278,0.902194637441885,0.899124466486794,0.896763178043327,0.895377756351949,0.995356101078045
"4",0.6,3,0.775034498160051,0.773069636640945,0.771112740960435,0.769165083399207,0.767229465699137,0.765323207928826,0.756723555457872,0.75164840522459,0.74997252888052,0.993034151617067
"5",0.8,4,0.66228077099874,0.658726003315365,0.655136164548583,0.651512564138021,0.647856122608198,0.644187288017762,0.626331771979215,0.613163499519574,0.60733802260403,0.990712202156089
"6",1,5,0.573293570497115,0.568342407938153,0.563301442442465,0.558169206747977,0.552942309755357,0.547638615626191,0.520613859672066,0.498060879529803,0.486558517266692,0.988390252695112
"7",1.2,6,0.50350474997375,0.497458719734878,0.491274875851761,0.484948500615871,0.478471913616119,0.471858729025412,0.437284284962928,0.406485921815899,0.38967754209041,0.985965116414213
"8",1.4,7,0.448038844613751,0.441172153410744,0.434131323934425,0.426908995953967,0.419494250394403,0.411896788933353,0.371608083941509,0.334442545019648,0.313468536800486,0.983539980133314
"9",1.6,8,0.403188113940115,0.395719884125257,0.3880524858198,0.380176813029176,0.372079951372675,0.363768704218876,0.319369686186133,0.277681562982984,0.253803481941191,0.981114843852416
"10",1.8,9,0.366302911592646,0.358400909358137,0.350284063933192,0.341942374696478,0.333362035456397,0.324548042496982,0.277319903544957,0.232662345615362,0.206994198397789,0.978689707571517
"11",2,10,0.335499447483684,0.327290382151648,0.318858071175545,0.310192318078908,0.301279298090494,0.292123147754686,0.243050681855847,0.196644533239319,0.170076624965132,0.976264571290618
"12",2.2,11,0.309422727907253,0.301002096418518,0.292355292436661,0.283472457130797,0.274340395494041,0.264963132776849,0.214789733907683,0.167559568100711,0.140763792303628,0.973711689404207
"13",2.4,12,0.287081704951149,0.278521661280175,0.269736562563798,0.260717275906836,0.251451695434261,0.241944294212866,0.191225920344783,0.143855368647765,0.117318533579861,0.971158807517796
"14",2.6,13,0.267738622686841,0.259093908767624,0.250228200305463,0.241133361395542,0.231798686120921,0.222229495298656,0.171379521327328,0.124364563514284,0.0984267709737551,0.968605925631385
"15",2.8,14,0.250834839382145,0.24214716431543,0.233244664683241,0.224120381929082,0.214765208261354,0.205185585972927,0.154509815117577,0.108203553263043,0.0830929018467565,0.966053043744974
"16",3,15,0.235940561583494,0.227241819731487,0.218335906628541,0.209217152981754,0.199878163719161,0.190326679495309,0.140049946725997,0.0946980713034161,0.0705591816323663,0.963500161858563
"17",3.2,16,0.222720259580194,0.214034901166212,0.205151039519137,0.19606435573525,0.186769221059845,0.17727477864695,0.127560941370306,0.0833290214524388,0.060245388766396,0.960830015729944
"18",3.4,17,0.210908476152506,0.202255263777584,0.193412880783296,0.184378382598867,0.175147916510697,0.165732078530333,0.11669898781876,0.0736931584196075,0.0517042020397364,0.958159869601325
"19",3.6,18,0.200292624814846,0.191685944615002,0.182899829823739,0.173932707289322,0.164782479005429,0.155461205018824,0.107191925356798,0.0654744497687231,0.0445883044246021,0.955489723472705
"20",3.8,19,0.190700563656019,0.182151411859632,0.173432770454716,0.164544415696776,0.155485961409907,0.146270914759471,0.0988221559154361,0.058423089409848,0.038626097044162,0.952819577344086
"21",4,20,0.181991484531583,0.173508215779697,0.164865467042793,0.156064328671434,0.147106068923866,0.138005605418307,0.0914140836201952,0.0523400014836079,0.0336036976883378,0.950149431215467
"22",4.2,21,0.174049139664164,0.16563803909609,0.157077426266881,0.148369661321898,0.139517600197916,0.130537520793933,0.0848247783277982,0.0470653037431765,0.0293515247517974,0.947349716573585
"23",4.4,22,0.166776740542183,0.158442464439413,0.149968523885008,0.141358498725524,0.132616760233414,0.123760887555369,0.0789369602508587,0.0424696458529471,0.025734236170486,0.944550001931702
"24",4.6,23,0.160093069919041,0.151838987510397,0.14345491212042,0.134945589766133,0.126316831866307,0.117587454359421,0.0736536739882509,0.0384476512193467,0.0226431343890686,0.94175028728982
"25",4.8,24,0.153929485280424,0.145757945629525,0.137465868073261,0.129059109559132,0.12054484559149,0.111943061550721,0.0688942053668678,0.0349129104373593,0.0199903941588823,0.938950572647937
"26",5,25,0.148227585404137,0.140140127074098,0.131941341890189,0.123638142038378,0.115238991583696,0.106764976949625,0.0645909219934165,0.0317941286518013,0.0177046460878852,0.936150858006055
"27",5.2,26,0.142937375752112,0.134934892443003,0.126830031109365,0.118630703936522,0.110346589547283,0.101999807292071,0.0606868071189198,0.0290321380540832,0.01572757507932,0.933224211471511
"28",5.4,27,0.138015813109859,0.130098685186893,0.122087854802717,0.113992179996922,0.105822482143653,0.0976018466332086,0.0571335187696808,0.0265775641653775,0.0140112834839666,0.930297564936967
"29",5.6,28,0.133425641417401,0.125593840841229,0.117676734469986,0.109684073590392,0.101627753162014,0.0935317596150842,0.05388985037387,0.0243889899979036,0.0125162342263188,0.927370918402423
"30",5.8,29,0.129134453255837,0.121387627645123,0.113563612455488,0.105673001448258,0.0977286969174332,0.0897555236628254,0.0509205008672527,0.0224315021827398,0.0112096366231854,0.924444271867879
"31",6,30,0.12511392772268,0.117451467950749,0.109719655866295,0.101929878954397,0.0940959836574041,0.0862435730858801,0.0481950852564553,0.0206755322292839,0.0100641722298313,0.921517625333335
"32",6.2,31,0.121339207308856,0.113760302038052,0.10611960653526,0.0984292553859061,0.0907039791189516,0.0829701018712925,0.0456873334251761,0.0190959273815118,0.00905698345058449,0.918474736140802
"33",6.4,32,0.117788385152786,0.110292064954872,0.102741246838555,0.0951487680395444,0.0875301862302536,0.0799124921390774,0.0433744373628487,0.0176712012570576,0.00816886640552109,0.915431846948269
"34",6.6,33,0.114442080572255,0.107027253707669,0.0995649580756706,0.0920686912877208,0.0845547842830264,0.0770508428074099,0.0412365162132863,0.0163829261435649,0.00738362347736634,0.912388957755736
"35",6.8,34,0.111283085677799,0.103948567165203,0.0965733533011457,0.089171561944525,0.0817602464069587,0.0743675787034455,0.0392561754526379,0.0152152375791708,0.00668754137641951,0.909346068563204
"36",7,35,0.108296069586837,0.101040604853819,0.0937509704218598,0.0864418663635922,0.0791310203451217,0.0718471246606357,0.0374181417289403,0.014154428443134,0.00606896839179562,0.906303179370671
"37",7.2,36,0.105467329596213,0.0982896137375602,0.0910840143701124,0.0838657777741909,0.0766532607093544,0.0694756324272677,0.0357089588716221,0.0131886147914428,0.00551797042008706,0.90311222661803
"38",7.4,37,0.102784580855534,0.0956832743191307,0.0885601394677899,0.0814309347340757,0.074314603339339,0.0672407507345089,0.0341167336276364,0.0123074594983762,0.00502604986818656,0.89992127386539
"39",7.6,38,0.10023677777767,0.0932105191360303,0.0861682648828819,0.0791262534149289,0.0721039742818358,0.0651314308252407,0.0326309220337348,0.0115019427057742,0.00458591497371092,0.89673032111275
"40",7.8,39,0.0978139617450489,0.0908613780827175,0.0838984174728136,0.0769417678688921,0.0700114273818725,0.0631377612665593,0.0312421491621402,0.0107641703554815,0.0041912897373791,0.893539368360109
"41",8,40,0.0955071307093488,0.0886268460550868,0.0817415974028957,0.0748684935490594,0.068028005635016,0.0612508270618947,0.0299420564054556,0.0100872138484211,0.00383675671125154,0.890348415607469
"42",8.2,41,0.0933081271035376,0.0864987692555449,0.079689662792287,0.0728983102446448,0.066145622363294,0.0594625890198686,0.0287231715898141,0.00946497525605352,0.00351762647938417,0.887020352489573
"43",8.4,42,0.0912095411384016,0.08446974716629,0.0777352303264624,0.0710238612966796,0.064356959002472,0.0577657800837726,0.0275787980932737,0.00889207359642152,0.0032298289111188,0.883692289371677
"44",8.6,43,0.0892046270780135,0.0825330477334253,0.0758715893237909,0.0692384665232791,0.0626553768672406,0.0561538159213412,0.0265029198523241,0.00836374854522107,0.00296982224298442,0.880364226253781
"45",8.8,44,0.087287230508534,0.0806825337345123,0.0740926271845209,0.067536046735693,0.0610348407253992,0.054620717552346,0.0254901197033301,0.00787577863361094,0.00273451681424711,0.877036163135885
"46",9,45,0.0854517249540716,0.0789125986494641,0.0723927645062674,0.0659110580912549,0.0594898523867837,0.0531610441767331,0.0245355089585487,0.00742441152780767,0.00252121088997486,0.873708100017989
"47",9.2,46,0.0836929564688609,0.0772181106365696,0.0707668984387592,0.0643584348252407,0.0580153928163433,0.0517698346780306,0.0236346664816449,0.00700630442078424,0.00232753648952544,0.870242425078922
"48",9.4,47,0.0820061950598036,0.075594363445305,0.069210353085875,0.0628735391447022,0.0566068715280146,0.0504425565306422,0.0227835858236435,0.00661847291661489,0.00215141352478327,0.866776750139855
"49",9.6,48,0.0803870919776061,0.0740370332858596,0.0677188359556227,0.0614521172645931,0.0552600822182383,0.0491750610471558,0.0219786292211781,0.00625824707097254,0.00199101086218368,0.863311075200788
"50",9.8,49,0.0788316420663214,0.0725421408301778,0.0662883996170772,0.0600902607285949,0.0539711637640374,0.047963544072126,0.0212164874558054,0.00592323348083345,0.00184471317175537,0.859845400261721
"51",10,50,0.0773361504863544,0.0711060176472277,0.0649154078540402,0.058784372290804,0.052736565847527,0.0468045113691633,0.0204941447347238,0.00561128250337955,0.00171109262765474,0.856379725322654
"52",10.2,51,0.0758972032298824,0.0697252764812727,0.0635965057135366,0.0575311357452269,0.0515530185821052,0.0456947480643124,0.0198088478863341,0.0053204598368947,0.00158888468777325,0.852770508025189
"53",10.4,52,0.0745116409341604,0.0683967848701966,0.0623285929374086,0.0563274891821563,0.0504175056098007,0.0446312916051533,0.0191580792741253,0.0050490218218077,0.00147696731265802,0.849161290727724
"54",10.6,53,0.0731765355704754,0.0671176416746773,0.0611088003405304,0.0551706012273731,0.0493272402178274,0.0436114077754609,0.0185395329236796,0.00479539392323484,0.00137434309224486,0.84555207343026
