"","Model","Cure_0","Cure_1","Cure_2","Cure_3","Cure_4","Cure_5","Cure_10","Cure_15","Cure_20","Cure_0_res","Cure_1_res","Cure_2_res","Cure_3_res","Cure_4_res","Cure_5_res","Cure_10_res","Cure_15_res","Cure_20_res","No_cure","No_cure_res"
"1","exponential",2.94941466957133,3.09446536547846,3.24047998354471,3.3874824495784,3.53548576460318,3.68452259474311,4.44608778415534,5.23851774865353,6.06828275363511,2.85521423151411,2.87785532564951,2.90103211771886,2.92477641760125,2.94911120279228,2.97407750361357,3.10964186451608,3.26777089856959,3.45673325663403,2.90275477706151,2.81035021363753
"2","weibull",2.81705745590714,2.9589730674376,3.10190883205512,3.24585290312789,3.39079126877585,3.53671137554976,4.28028931001309,5.04406141286024,5.82005686727355,2.76574714244272,2.78424217030571,2.80317619490705,2.82255813757307,2.84239571187261,2.86269888767579,2.97132583292178,3.09128568341124,3.21848732830107,2.76415074109585,2.71689035671925
"3","llogis",3.58989673113821,3.70078132780947,3.81306927768946,3.92681911089822,4.04209411199625,4.15895765210656,4.770037666706,5.43617563546501,6.17529032392731,2.99445303880284,3.00963654663488,3.02525810251347,3.04135431383607,3.05796650660571,3.07513713557923,3.17145616321422,3.29339160220813,3.45701331545186,3.73743293506865,2.97810425893195
"4","lognormal",3.51378784297649,3.62350797548826,3.73502677705623,3.84836958433016,3.96358741729126,4.08077729115572,4.69732009338574,5.3692888994351,6.10854108184961,3.04069361098134,3.05433547402197,3.06842979515516,3.083000521648,3.09808259519848,3.11374637215388,3.201874455468,3.31116251456726,3.45529614569906,3.69392930417108,3.05993002877141
"5","gompertz",4.20770942088265,4.2187238215561,4.23514119091772,4.25787404079169,4.28771541193698,4.32537820752934,4.65736498946669,5.23201021824562,5.9473195507537,3.20278866700198,3.20233449092744,3.20220168868197,3.20245801674636,3.20316796475933,3.20434926426806,3.22042769393185,3.26284706986801,3.34545762463719,4.20705475543112,3.13345961283226
"6","gamma",2.78691474737115,2.93063227425132,3.07520967992155,3.220657186201,3.3669486329934,3.51407834391367,4.26177852611741,5.028010204887,5.81720952983629,2.73902543223954,2.75846182065804,2.77828544386444,2.79852101411092,2.81916056717275,2.84021514936918,2.95185005607577,3.07448545683521,3.21542003507709,2.73736503702709,2.69253664826742
"7","gengamma",4.6452036777566,4.70133392920942,4.75936462168495,4.81908222905499,4.88104529987012,4.94518482894843,5.30388575626135,5.73996009837625,6.27724616614266,3.35513146053758,3.36121287705532,3.36750489415161,3.3739628612486,3.38077408090553,3.3878390451103,3.42867374265088,3.48169893422965,3.5544661926239,3.845972792653,3.10194085685144
