"","Model","Cure_0","Cure_1","Cure_2","Cure_3","Cure_4","Cure_5","Cure_10","Cure_15","Cure_20"
"1","exponential",1140.58018102504,1140.09271898434,1139.60402936551,1139.11501361158,1138.6267171844,1138.14034937682,1135.79425720583,1133.81827703577,1132.72363180341
"2","weibull",1138.35073193423,1137.58080239553,1136.78059662156,1135.94812260646,1135.08119265086,1134.17739666955,1129.00100422326,1122.33645458341,1113.26147007956
"3","llogis",1109.55784531947,1108.61478849362,1107.65270530857,1106.67178765571,1105.67238695314,1104.65504902108,1099.33787593095,1093.86152868177,1088.90447343738
"4","lognormal",1101.22925392377,1100.6113911142,1099.9801975691,1099.33565419105,1098.67781899941,1098.00684424131,1094.46978695715,1090.7324933126,1087.16101733153
"5","gompertz",1136.4243188648,1136.34533375181,1136.2581704529,1136.16202802309,1136.05600833946,1135.93910108168,1135.14540574221,1133.8165226509,1131.43710151035
"6","gamma",1134.89665357127,1133.94824171305,1132.96261848635,1131.93752360371,1130.87051009735,1129.75892650341,1123.42296009263,1115.42899009826,1105.25931904335
"7","gengamma",1089.13190389074,1089.01647414196,1088.89728956849,1088.77416119589,1088.64688993218,1088.51526399573,1087.78357230964,1086.90486339634,1085.84743106412
