"","function_type","cure_rate","stderr","lower.ci","upper.ci","AIC","BIC"
"1","exponential",0.211250005378363,0.0510580808043697,0.110932722481078,0.311567288275648,1134.67709995821,1143.08621548335
"2","weibull",0.346548658821183,0.0250478283535714,0.29733548740302,0.395761830239346,1090.23855701554,1102.85223030325
"3","llogis",0.272337318873373,0.0348168414348586,0.203930303239685,0.340744334507061,1089.3657161725,1101.9793894602
"4","lognormal",0.274970018267005,0.0378882545221015,0.200528388509298,0.349411648024713,1088.24754324357,1100.86121653128
"5","gompertz",0.355924522921923,0.0241551695742986,0.308465218901052,0.403383826942795,1110.30717034365,1122.92084363136
"6","gamma",0.335684226515405,0.0262230384115366,0.284162039991478,0.387206413039333,1087.80442103169,1100.41809431939
"7","gengamma",0.320001487354578,0.0489929459679627,0.223741715283026,0.41626125942613,1089.44219955684,1106.26043060711
